,address,city,zip,State
1068,2746 NE 45TH ST ,seattle,98105.0,WA
1082,1530 POST ALY #B,seattle,98101.0,WA
1093,7902 35TH AVE SW,seattle,98126.0,WA
1098,4130 ROOSEVELT WAY NE ,seattle,98105.0,WA
1112,1530 3RD AVE,seattle,98101.0,WA
1126,1507 QUEEN ANNE AVE N ,seattle,98109.0,WA
1134,8515 35TH AVE NE ,seattle,98115.0,WA
1148,1517 PIKE PL,seattle,98101.0,WA
1159,809 FAIRVIEW PL N ,seattle,98109.0,WA
1169,11730 PINEHURST WAY NE ,seattle,98125.0,WA
1175,1718 N 45TH ST,seattle,98103.0,WA
1185,17535 BALLINGER WAY NE ,lake forest park,98155.0,WA
1193,1940 1ST AVE S,seattle,98134.0,WA
1196,8519 15TH AVE NW ,seattle,98117.0,WA
1208,810 E ROY ST ,seattle,98102.0,WA
1220,5517 ROOSEVELT WAY NE ,seattle,98105.0,WA
1233,2801 WESTERN AVE #B,seattle,98121.0,WA
1239,8518 GREENWOOD AVE N ,seattle,98103.0,WA
1251,1514 PIKE PL ,seattle,98101.0,WA
1253,118 CHERRY ST ,seattle,98104.0,WA
1263,4559 CALIFORNIA AVE SW ,seattle,98116.0,WA
1277,1919 S JACKSON ST,seattle,98144.0,WA
1289,6415 8TH AVE NW ,seattle,98107.0,WA
1301,4910 Leary AVE NW,seattle,98107.0,WA
1309,5300 15TH AVE NW,seattle,98107.0,WA
1322,10003 RAINIER AVE S,seattle,98118.0,WA
1331,5903 1ST AVE S,seattle,98108.0,WA
1336,6417 ROOSEVELT WAY NE STE 201,seattle,98115.0,WA
1347,6615 E MARGINAL WAY S ,seattle,98108.0,WA
1359,806 NW 85TH ST ,seattle,98117.0,WA
1370,424 MAYNARD AVE S,seattle,98104.0,WA
1373,1412 HARVARD AVE,seattle,98122.0,WA
1379,200 ROY ST 104,seattle,98109.0,WA
1386,235 BROADWAY AVE E ,seattle,98102.0,WA
1397,600 PINE ST STE 405,seattle,98101.0,WA
1399,1213 MADISON ST ,seattle,98104.0,WA
1412,2108 NE 65TH ST,seattle,98115.0,WA
1425,1514 PIKE PL,seattle,98101.0,WA
1427,1514 PIKE PL #8,seattle,98101.0,WA
1439,526 2ND AVE ,seattle,98104.0,WA
1451,4743 BALLARD AVE NW #1B,seattle,98107.0,WA
1459,1415 1ST AVE ,seattle,98101.0,WA
1467,9808 14TH AVE SW,seattle,98106.0,WA
1477,2040 WESTLAKE AVE N ,seattle,98109.0,WA
1489,2801 ALASKAN WAY,seattle,98121.0,WA
1492,81 PIKE ST ,seattle,98101.0,WA
1501,100 4TH AVE N,seattle,98109.0,WA
1511,2408 NW 80TH ST ,seattle,98117.0,WA
1512,2901 E MADISON ST ,seattle,98112.0,WA
1522,500 QUEEN ANNE AVE N ,seattle,98109.0,WA
1533,10230 16TH AVE SW ,seattle,98146.0,WA
1537,6417 LATONA AVE NE ,seattle,98115.0,WA
1543,2666 ALKI AVE SW,seattle,98116.0,WA
1556,1112 PIKE ST,seattle,98101.0,WA
1558,3220 S HUDSON ST,seattle,98118.0,WA
1571,8501 5TH AVE NE ,seattle,98115.0,WA
1584,1221 E PIKE ST ,seattle,98122.0,WA
1596,8523 GREENWOOD AVE N ,seattle,98103.0,WA
1608,925 4TH AVE ,seattle,98104.0,WA
1620,12354 15TH AVE NE STE C,seattle,98125.0,WA
1633,1117 12TH AVE ,seattle,98122.0,WA
1645,1321 1ST AVE,seattle,98101.0,WA
1653,12248 AURORA AVE N STE B,seattle,98133.0,WA
1666,4213 UNIVERSITY WAY NE ,seattle,98105.0,WA
1680,4116 UNIVERSITY WAY NE ,seattle,98105.0,WA
1693,1301 ALASKAN WAY,seattle,98101.0,WA
1705,4720 CALIFORNIA AVE SW ,seattle,98116.0,WA
1718,4735 UNIVERSITY WAY NE ,seattle,98105.0,WA
1730,4749 UNIVERSITY WAY NE ,seattle,98105.0,WA
1735,622 1ST AVE N ,seattle,98109.0,WA
1747,8310 5TH AVE NE ,seattle,98115.0,WA
1750,2320 N 45TH ST,seattle,98103.0,WA
1760,719 E PIKE ST,seattle,98122.0,WA
1763,1721 1ST AVE S ,seattle,98134.0,WA
1773,916 E JOHN ST ,seattle,98102.0,WA
1782,5210 UNIVERSITY WAY NE,seattle,98105.0,WA
1785,3427 RAINIER AVE S ,seattle,98144.0,WA
1795,2600 1ST AVE ,seattle,98121.0,WA
1806,100 4TH AVE N #120,seattle,98109.0,WA
1817,13242 AURORA AVE N #105,seattle,98133.0,WA
1820,9025 25TH AVE SW,seattle,98126.0,WA
1822,2026 NW MARKET ST,seattle,98107.0,WA
1825,345 15TH AVE E ,seattle,98112.0,WA
1827,4008 NE 55TH ST ,seattle,98105.0,WA
1840,520 S JACKSON ST ,seattle,98104.0,WA
1847,2681 NE UNIVERSITY VILLAGE ST,seattle,98105.0,WA
1849,1521 MELROSE AVE,seattle,98122.0,WA
1854,6261 13TH AVE S,seattle,98108.0,WA
1866,2853 NW MARKET ST ,seattle,98107.0,WA
1879,4300 LEARY WAY NW ,seattle,98107.0,WA
1888,6119 PHINNEY AVE N ,seattle,98103.0,WA
1902,6012 PHINNEY AVE N ,seattle,98103.0,WA
1915,432 BROADWAY AVE E ,seattle,98102.0,WA
1926,617 BROADWAY AVE E,seattle,98102.0,WA
1927,446 TERRY AVE N,seattle,98109.0,WA
1929,4005 AIRPORT WAY S,seattle,98108.0,WA
1934,3526 FREMONT PL N,seattle,98103.0,WA
1939,1200 3rd AVE #110,seattle,98101.0,WA
1942,9749 HOLMAN RD NW ,seattle,98117.0,WA
1956,1608 N 45TH ST ,seattle,98103.0,WA
1964,700 5TH AVE #602,seattle,98104.0,WA
1969,4922 S GENESEE ST ,seattle,98118.0,WA
1982,501 SENECA ST ,seattle,98101.0,WA
1995,83 SPRING ST ,seattle,98104.0,WA
2006,1916 POST ALY ,seattle,98101.0,WA
2017,13754 AURORA AVE N STE C,seattle,98133.0,WA
2018,1420 5TH AVE #203,seattle,98101.0,WA
2025,1224 1ST AVE,seattle,98101.0,WA
2033,4401 WALLINGFORD AVE N ,seattle,98103.0,WA
2046,2401 NW Market ST,seattle,98107.0,WA
2053,86 PINE ST,seattle,98101.0,WA
2062,7016 E MARGINAL WAY S,seattle,98108.0,WA
2063,9304 RAINIER AVE S,seattle,98118.0,WA
2069,5100 RAINIER AVE S ,seattle,98118.0,WA
2070,11064 LAKE CITY WAY NE ,seattle,98125.0,WA
2083,2621 5TH AVE ,seattle,98121.0,WA
2084,4307 FREMONT AVE N ,seattle,98103.0,WA
2087,1410 NE 40TH ST,seattle,98105.0,WA
2100,8855 9TH AVE SW,seattle,98106.0,WA
2113,321 MERCER ST ,seattle,98109.0,WA
2146,11546 15TH AVE NE ,seattle,98125.0,WA
2154,11546 15TH AVE NE,seattle,98125.0,WA
2162,5146 25TH AVE NE,seattle,98105.0,WA
2176,4719 CALIFORNIA AVE SW,seattle,98116.0,WA
2189,2008 NW 56TH ST,seattle,98107.0,WA
2192,4226 UNIVERSITY WAY NE ,seattle,98105.0,WA
2205,400 N 35TH ST ,seattle,98103.0,WA
2215,12526 LAKE CITY WAY NE,seattle,98125.0,WA
2217,2230 1ST AVE ,seattle,98121.0,WA
2227,4141 UNIVERSITY WAY NE,seattle,98105.0,WA
2235,1902 PIKE PL,seattle,98101.0,WA
